zip,city,ev_2025,ev_2021,station_count,l2_ports,dcfc_ports,total_ports,total_ports_2021,ports_within_radius,evs_within_radius,evs_per_port_nearby,access_class,evs_per_port,vs_state_avg,evs_added,ports_added,service_category
95352,,16,4,0,0,0,0,0,,,,No location data,,,12,0,"Fewer than 1,000 EVs"
95353,,6,2,0,0,0,0,0,,,,No location data,,,4,0,"Fewer than 1,000 EVs"
95354,Modesto,452,112,12,19,24,43,1,210.0,9212.0,43.86666666666667,"Fewer than 1,000 EVs",10.511627906976743,0.31587836342625103,340,42,"Fewer than 1,000 EVs"
95355,Modesto,1658,345,6,2,5,7,0,207.0,7848.0,37.91304347826087,Locally sparse - chargers nearby,236.85714285714286,7.117646031008579,1313,7,Severely underserved (>3x state avg)
95356,Modesto,1361,312,13,21,61,82,17,212.0,7516.0,35.45283018867924,Well served,16.597560975609756,0.4987629360779865,1049,65,At or above average
95357,,265,58,0,0,0,0,0,173.0,8453.0,48.861271676300575,"Fewer than 1,000 EVs",,,207,0,"Fewer than 1,000 EVs"
95358,Modesto,424,89,4,26,0,26,2,196.0,6624.0,33.795918367346935,"Fewer than 1,000 EVs",16.307692307692307,0.49005227382466043,335,24,"Fewer than 1,000 EVs"
95360,,244,58,0,0,0,0,0,0.0,398.0,,"Fewer than 1,000 EVs",,,186,0,"Fewer than 1,000 EVs"
95361,Oakdale,783,175,7,10,3,13,3,17.0,783.0,46.05882352941177,"Fewer than 1,000 EVs",60.23076923076923,1.8099572188901376,608,10,"Fewer than 1,000 EVs"
95363,Patterson,1148,224,6,4,40,44,12,44.0,1148.0,26.09090909090909,Well served,26.09090909090909,0.7840416096225592,924,32,At or above average
95364,,6,1,0,0,0,0,0,0.0,8.0,,"Fewer than 1,000 EVs",,,5,0,"Fewer than 1,000 EVs"
95365,,40,9,0,0,0,0,0,69.0,841.0,12.18840579710145,"Fewer than 1,000 EVs",,,31,0,"Fewer than 1,000 EVs"
95366,Ripon,663,150,4,0,20,20,0,320.0,7809.0,24.403125,"Fewer than 1,000 EVs",33.15,0.996169940588384,513,20,"Fewer than 1,000 EVs"
95367,,575,102,0,0,0,0,0,207.0,6441.0,31.115942028985508,"Fewer than 1,000 EVs",,,473,0,"Fewer than 1,000 EVs"
95368,,335,51,0,0,0,0,0,290.0,10240.0,35.310344827586206,"Fewer than 1,000 EVs",,,284,0,"Fewer than 1,000 EVs"
