zip,ev_2025,ev_2021,station_count,l2_ports,dcfc_ports,total_ports,total_ports_2021,city
90232,1629,571,65,208,17,225,39,Culver City
90236,1,0,0,0,0,0,0,
90237,1,0,0,0,0,0,0,
90239,11,4,0,0,0,0,0,
90240,1377,342,3,2,20,22,12,Downey
90241,1770,447,22,43,19,62,42,Downey
90242,1241,268,8,80,6,86,86,Downey
90245,1562,549,61,162,4,166,48,El Segundo
90247,1551,343,8,45,11,56,6,Gardena
90248,672,215,21,35,32,67,0,Carson
90249,1115,236,2,30,0,30,2,Gardena
90250,3212,846,21,40,41,81,50,Hawthorne
90251,15,0,0,0,0,0,0,
90254,2426,997,6,30,28,58,30,Hermosa Beach
90255,829,154,2,0,18,18,0,Huntington Park
90256,0,1,0,0,0,0,0,
90260,1069,246,2,2,8,10,0,Lawndale
90262,849,149,4,8,0,8,6,Lynwood
90263,13,0,6,12,0,12,2,Malibu
90264,23,10,0,0,0,0,0,
90265,1786,874,58,140,40,180,23,Malibu
90266,5316,2437,38,89,38,127,91,Manhattan Beach
90267,21,10,0,0,0,0,0,
90269,0,1,0,0,0,0,0,
90270,288,46,0,0,0,0,0,
90272,2424,1703,9,23,10,33,16,Pacific Palisades
90274,4128,1669,8,22,5,27,10,Rolling Hills Estates
90275,5706,2033,6,12,0,12,4,Rancho Palos Verdes
90277,3484,1298,8,14,6,20,2,Redondo Beach
90278,4326,1577,7,7,13,20,9,Redondo Beach
90279,1,0,0,0,0,0,0,
90280,1488,252,5,6,15,21,5,South Gate
90290,850,381,1,2,0,2,0,Topanga
90291,2717,1071,9,42,2,44,32,Los Angeles
90292,3111,1067,19,194,18,212,74,Marina Del Rey
90293,1167,413,3,3,0,3,1,Los Angeles
90294,15,13,0,0,0,0,0,
90295,24,13,0,0,0,0,0,
90296,3,3,0,0,0,0,0,
90301,5137,150,26,38,64,102,4,Inglewood
90302,857,197,0,0,0,0,0,
90303,590,79,6,20,52,72,0,Inglewood
90304,493,86,2,4,0,4,2,Inglewood
90305,768,155,10,19,0,19,0,Inglewood
90308,3,1,0,0,0,0,0,
90309,3,0,0,0,0,0,0,
90323,2,2,0,0,0,0,0,
90401,1420,281,99,171,57,228,79,Santa Monica
90402,1986,899,3,5,0,5,5,Santa Monica
90403,2421,892,17,57,4,61,42,Santa Monica
